file,decoded,ftx_entries,crash
Characters\MovieStar\Popstar01_Body_Main.common.ovl,0,0,
Characters\MovieStar\Popstar01_Body_Stub.common.ovl,0,0,
Characters\MovieStar\Popstar01_Head_Main.common.ovl,0,0,
Characters\MovieStar\Popstar01_Head_Stub.common.ovl,0,0,
Characters\MovieStar\Popstar01_Legs_Main.common.ovl,0,0,
Characters\MovieStar\Popstar01_Legs_Stub.common.ovl,0,0,
Characters\MovieStar\Popstar01_SwimSuit.common.ovl,2,0,
Characters\MovieStar\Popstar01_SwimSuitBody_Main.common.ovl,0,0,
Characters\MovieStar\Popstar01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\MovieStar\Popstar01_SwimSuitLegs_Main.common.ovl,0,0,
Characters\MovieStar\Popstar01_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\PI\ParkInspector.common.ovl,0,0,
Characters\PI\PI01_Body_Main.common.ovl,0,0,
Characters\PI\PI01_Body_Stub.common.ovl,0,0,
Characters\PI\PI01_Head_Main.common.ovl,0,0,
Characters\PI\PI01_Head_Stub.common.ovl,0,0,
Characters\PI\PI01_Legs_Main.common.ovl,0,0,
Characters\PI\PI01_Legs_Stub.common.ovl,0,0,
Characters\PI\PI01_SwimSuitBody_Main.common.ovl,0,0,
Characters\PI\PI01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\PI\PI01_SwimSuitLegs_Main.common.ovl,0,0,
Characters\PI\PI01_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\PI\VIP01_All.common.ovl,2,0,
Characters\PI\VIP01_SwimSuit.common.ovl,2,0,
Characters\Pincer\Claw.common.ovl,1,1,
Characters\Politician\PD01.common.ovl,0,0,
Characters\Politician\PD01_All.common.ovl,2,0,
Characters\Politician\PD01_Body_Main.common.ovl,0,0,
Characters\Politician\PD01_Body_Stub.common.ovl,0,0,
Characters\Politician\PD01_Head_Main.common.ovl,0,0,
Characters\Politician\PD01_Head_Stub.common.ovl,0,0,
Characters\Politician\PD01_Legs_Main.common.ovl,0,0,
Characters\Politician\PD01_Legs_Stub.common.ovl,0,0,
Characters\Politician\PD01_SwimSuit.common.ovl,2,0,
Characters\Politician\PD01_SwimSuitBody_Main.common.ovl,0,0,
Characters\Politician\PD01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\Politician\PD01_SwimSuitLegs_Main.common.ovl,0,0,
Characters\Politician\PD01_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\Politician\Politician.common.ovl,0,0,
Characters\PopStar\JPOP01.common.ovl,0,0,
Characters\PopStar\JPOP01_All.common.ovl,2,0,
Characters\PopStar\JPOP01_Body_Main.common.ovl,0,0,
Characters\PopStar\JPOP01_Body_Stub.common.ovl,0,0,
Characters\PopStar\JPOP01_Head_Main.common.ovl,0,0,
Characters\PopStar\JPOP01_Head_Stub.common.ovl,0,0,
Characters\PopStar\JPOP01_Legs_Main.common.ovl,0,0,
Characters\PopStar\JPOP01_Legs_Stub.common.ovl,0,0,
Characters\PopStar\JPOP01_SwimSuit.common.ovl,2,0,
Characters\PopStar\JPOP01_SwimSuitBody_Main.common.ovl,0,0,
Characters\PopStar\JPOP01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\PopStar\JPOP01_SwimSuitLegs_Main.common.ovl,0,0,
Characters\PopStar\JPOP01_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\PopStar\Popstar.common.ovl,0,0,
Characters\SecurityGuard\SecurityGuard.common.ovl,0,0,
Characters\SecurityGuard\SG01.common.ovl,0,0,
Characters\SecurityGuard\SG01_Body_Main.common.ovl,0,0,
Characters\SecurityGuard\SG01_Body_Stub.common.ovl,0,0,
Characters\SecurityGuard\SG01_Head_Main.common.ovl,0,0,
Characters\SecurityGuard\SG01_Head_Stub.common.ovl,0,0,
Characters\SecurityGuard\SG01_Legs_Main.common.ovl,0,0,
Characters\SecurityGuard\SG01_Legs_Stub.common.ovl,0,0,
Characters\SecurityGuard\SG01_Skin.common.ovl,2,0,
Characters\Smythe\Smythe.common.ovl,0,0,
Characters\Smythe\Smythe_All.common.ovl,2,0,
Characters\Smythe\Smythe_Body_Main.common.ovl,0,0,
Characters\Smythe\Smythe_Body_Stub.common.ovl,0,0,
Characters\Smythe\Smythe_Head_Main.common.ovl,0,0,
Characters\Smythe\Smythe_Head_Stub.common.ovl,0,0,
Characters\Smythe\Smythe_Legs_Main.common.ovl,0,0,
Characters\Smythe\Smythe_Legs_Stub.common.ovl,0,0,
Characters\Smythe\Smythe_Swimsuit.common.ovl,2,0,
Characters\Smythe\Smythe_SwimSuitBody_Main.common.ovl,0,0,
Characters\Smythe\Smythe_SwimSuitBody_Stub.common.ovl,0,0,
Characters\Smythe\Smythe_SwimSuitLegs_Main.common.ovl,0,0,
Characters\Smythe\Smythe_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\TF\TeenageFemale.common.ovl,0,0,
Characters\TF\TF01.common.ovl,0,0,
Characters\TF\TF01_Bikini.common.ovl,2,0,
Characters\TF\TF01_Head_Main.common.ovl,0,0,
Characters\TF\TF01_Head_Stub.common.ovl,0,0,
