file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SuperSoaker\SuperSoaker.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SuperSoaker\SuperSoaker.unique.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SuspendedFlying\SuspendedFlying.common.ovl,spl,3,"TRACKBIGTrackBig; TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SuspendedFlying\SuspendedFlying.unique.ovl,spl,3,"TRACKBIGTrackBig; TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SuspendedSwinging\SuspendedSwinging.common.ovl,spl,3,"tracktrack; carswingcarswing; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SuspendedSwinging\SuspendedSwinging.unique.ovl,spl,3,"tracktrack; carswingcarswing; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\TiltCoaster\TiltCoaster.common.ovl,spl,3,"CARCAR; TRACKBIGTRACKBIG; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\TiltCoaster\TiltCoaster.unique.ovl,spl,3,"CARCAR; TRACKBIGTRACKBIG; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\TowerCoaster\TowerCoaster.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\TowerCoaster\TowerCoaster.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track1\Track1.common.ovl,spl,32,"MedcurveL_spline; MedcurveR_spline; PhotosectionL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track1\Track1.unique.ovl,spl,32,"MedcurveL_spline; MedcurveR_spline; PhotosectionL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track10\Track10.common.ovl,spl,200,"steepslope2medslopetiltleftl_spline; Helixlargeleftr_spline; medslopetiltleft2straighttiltleftr_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track10\Track10.unique.ovl,spl,200,"steepslope2medslopetiltleftl_spline; Helixlargeleftr_spline; medslopetiltleft2straighttiltleftr_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track11\Track11.common.ovl,spl,278,"Tiltedmedslopeloosecurverightl_spline; Medslopeoverbankedcurverightr_spline; Tilt90r_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track11\Track11.unique.ovl,spl,278,"Tiltedmedslopeloosecurverightl_spline; Medslopeoverbankedcurverightr_spline; Tilt90r_spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track12\Track12.common.ovl,spl,76,"45medslope2straightL_Spline; 45medslope2straightR_Spline; 45medslope2straighttiltleftL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track12\Track12.unique.ovl,spl,76,"45medslope2straightL_Spline; 45medslope2straightR_Spline; 45medslope2straighttiltleftL_Spline"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track13\Track13.common.ovl,spl,176,"45medslope2steepslopeL_Spline; 45medslope2steepslopeR_Spline; 45medslope2straightchainL_Spline"
